,address,addressNumber,bikes,district,id,lat,lon,name,nearbyStations,slots,stationType,status,zip,Colonia
155,156 - Tepic-Amenalco,S/N,0,ROM,156,19.407121,-99.16220200000001,156 TEPIC-AMENALCO,"153,155,162",18,BIKE,CLS,,ROMA SUR
156,157 - Tepic-Tlacotalpan,S/N,7,ROM,157,19.406236,-99.166616,157 TEPIC-TLACOTALPAN,"153,154,161",23,BIKE,OPN,,ROMA SUR
157,158 - Huatabampo- Eje 1 Pte. Av. Cuauhtémoc,S/N,14,ROM,158,19.407447,-99.15571700000001,158 HUATABAMPO-EJE 1PTE. CUAUHTÉMOC,"155,159,163",22,"BIKE,TPV",OPN,,ROMA SUR
158,159 - Huatabampo-Eje 1 Pte. Av. Cuauhtémoc,S/N,13,ROM,159,19.407517000000002,-99.155373,159 HUATABAMPO-EJE 1 PTE. AV. CUAUHTÉMOC,"155,158,163",23,BIKE,OPN,,CENTRO URBANO BENITO JUAREZ
159,160 - Alfonzo Herrera-Gabino Barrera,S/N,5,S-R,160,19.44025,-99.16346,E160 ALFONSO HERRERA-GABINO BARRERA,"103,174,257",19,ELECTRIC_BIKE,OPN,,SAN RAFAEL
160,161 - Quintana Roo-Manzanillo,S/N,10,ROM,161,19.405533,-99.164913,161 QUINTANA ROO-MANZANILLO,"153,157,162",10,BIKE,OPN,,ROMA SUR
161,162 - Tehuantepec-Medellín,S/N,2,ROM,162,19.404907,-99.162485,162 TEHUANTEPEC-MEDELLÍN,"161,165",24,BIKE,OPN,,ROMA SUR
162,163 - Toluca-Bajío,S/N,15,ROM,163,19.405245999999998,-99.15643100000001,163 TOLUCA-BAJÍO,"158,159,165",21,BIKE,OPN,,ROMA SUR
163,164 - Bajío-Tlacotalpan,S/N,15,ROM,164,19.403204000000002,-99.16596,164 BAJÍO-TLACOTALPAN,"157,161,162",11,BIKE,OPN,,ROMA SUR
164,165 - Bajío-Eje 2 Pte. Monterrey,S/N,10,ROM,165,19.404268,-99.160503,165 BAJÍO-EJE 2 PTE. MONTERREY,"162,163",11,BIKE,OPN,,ROMA SUR
165,166 - Progreso-Cda. Antonio Maceo,S/N,0,ESC,166,19.406069,-99.183549,166 PROGRESO-CDA. ANTONIO MACEO,"170,172,181",24,BIKE,OPN,,ESCANDON
166,167 - General Salvador Alvarado-Progreso,S/N,7,ESC,167,19.404651,-99.179375,167 GENERAL SALVADOR ALVARADO-PROGRESO,"168,172,178",17,BIKE,OPN,,ESCANDON
167,168 - Comercio-Progreso,S/N,14,ESC,168,19.403997,-99.1776,168 COMERCIO-PROGRESO,"167,169,173",7,"BIKE,TPV",OPN,,ESCANDON
168,169 - Prosperidad-Progreso,S/N,7,ESC,169,19.403019,-99.174934,169 PROSPERIDAD-PROGRESO,"168,170,175",14,BIKE,OPN,,ESCANDON
169,170 - Observatorio Oriente-Revolución,S/N,14,ESC,170,19.404029,-99.184342,170 OBSERVATORIO ORIENTE-REVOLUCIÓN,"166,167,172",7,BIKE,OPN,,ESCANDON
170,171 - Comercio-Jose Martí,S/N,14,1,171,19.402584,-99.17819899999999,171 COMERCIO-JOSE MARTÍ,"167,168,173",13,BIKE,OPN,,ESCANDON
171,172 - General Francisco Murguia-Jose Martí,S/N,1,ESC,172,19.4034921,-99.18160019999999,172 GENERAL FRANCISCO MURGUIA-JOSE MARTÍ,"167,170,171",17,BIKE,OPN,,ESCANDON
172,173 - Minería-Jose Martí,S/N,10,1,173,19.401682,-99.17639799999999,173 MINERÍA-JOSÉ MARTÍ,"168,169,171",11,BIKE,OPN,,ESCANDON
173,174 - Joaquín Garcia-Ignacio Manuel Altamirano,S/N,5,1,174,19.441110000000002,-99.16164,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,"160,183,254",28,"BIKE,TPV",OPN,,SAN RAFAEL
174,175 - Mutualismo-José Martí,S/N,11,ESC,175,19.400767000000002,-99.172533,E175 MUTUALISMO-JOSÉ MARTí,"173,182,300",13,ELECTRIC_BIKE,OPN,,ESCANDON
175,176-LUIS DONALDO COLOSIO - AV. JESÜS GARCÏA,S/N,6,BUE,176,19.442689,-99.152286,176 AV. JESÜS GARCÏA-LUIS DONALDO COLOSIO,"266,267,272",30,BIKE,OPN,,BUENAVISTA
176,177 - BENJAMIN HILL-CARLOS ZETINA,S/N,6,H-C,177,19.408841,-99.181692,177 BENJAMIN HILL-CARLOS ZETINA,"176,178,190",14,BIKE,OPN,,HIPODROMO DE LA CONDESA
177,178 - Tamaulipas-Francisco Murguía,S/N,19,H-C,178,19.406833,-99.18045699999999,178 TAMAULIPAS-FRANCISCO MURGUÍA,"166,167,177",11,"BIKE,TPV",OPN,,HIPODROMO DE LA CONDESA
178,179 - Nuevo León-Quintana Roo,S/N,4,HIP,179,19.404452,-99.171438,179 NUEVO LEÓN-QUINTANA ROO,"154,180,182",23,BIKE,OPN,,HIPODROMO
179,180 - Quintana Roo-Villa Hermosa,S/N,5,HIP,180,19.404554,-99.169953,180 QUINTANA ROO-VILLA HERMOSA,"154,179,182",25,BIKE,OPN,,HIPODROMO
180,181 - Benjamin Franklin - Ometusco,S/N,6,1,181,19.40472,-99.17448,181 BENJAMIN FRANKLIN-OMETUSCO,"168,169,179",17,BIKE,OPN,,HIPODROMO
181,182 - PROGRESO-ASTRONOMOS,S/N,8,HIP,182,19.402089,-99.17139,182 PROGRESO-ASTRONOMOS,"175,179",28,"BIKE,TPV",OPN,,ESCANDON
182,183 - Gabino Barrera-Guillermo Prieto,S/N,3,S-R,183,19.43767,-99.16402,183 GABINO BARRERA-GUILLERMO PRIETO,"160,174,255",33,BIKE,OPN,,SAN RAFAEL
183,184 - General Gómez Pedraza-Gobernador Tiburcio Montiel,S/N,10,SMC,184,19.41479,-99.18508,184 GRAL GÓMEZ PEDRAZA-GOBERNADOR TIBURCIO M,"185,186,187",26,"BIKE,TPV",OPN,,SAN MIGUEL CHAPULTEPEC
184,185 - General Antonio Léon-General Pedro Antonio de los Santos,S/N,3,SMC,185,19.4128,-99.1828,185 GRAL ANTONIO LÉON-GRAL PEDRO A DE LOS S.,"176,187,190",27,BIKE,OPN,,SAN MIGUEL CHAPULTEPEC
185,186 - Gregorio V. Gelati-Francisco Molinos del C.,S/N,6,SMC,186,19.412429100000004,-99.1885117,186 GREGORIO V GELATI-FRANCISCO MOLINOS DEL C,"187,188,189",12,BIKE,OPN,,SAN MIGUEL CHAPULTEPEC
186,187 - Genral Cano-Gobernador Gregorio V. Gelati,S/N,1,SMC,187,19.41123,-99.18551,187 GENERAL CANO-GOBERNADOR GREGORIO V GELATI,"176,189,190",19,BIKE,OPN,,SAN MIGUEL CHAPULTEPEC
187,188 - Gobernador Melchor Múzquiz-Gobernador Ignacio Esteva,S/N,10,SMC,188,19.41171,-99.19014,188 GDOR MELCHOR MÚZQUIZ-GDOR IGNACIO ESTEVA ,"186,187,189",5,"BIKE,TPV",OPN,,SAN MIGUEL CHAPULTEPEC
188,189 - Gobernador Rafael Rebollar-Gobernador José Ceballos,S/N,5,SMC,189,19.41004,-99.18798000000001,189 GDOR RAFAEL REBOLLAR-GDOR JOSÉ CEBALLOS,"186,187,188",12,BIKE,OPN,,SAN MIGUEL CHAPULTEPEC
189,190 - Gobernador Ignacio Esteva-Maestro José Vasconcelos,S/N,11,SMC,190,19.409569,-99.18383299999999,E190 GDOR IGNACIO ESTEVA-MTRO JOSÉ VASCONCELOS,"33,187,189,449",13,ELECTRIC_BIKE,OPN,,SAN MIGUEL CHAPULTEPEC
190,191 - Gobernador Rafael Rebollar-Gobernador Vicente Eguia,S/N,12,SMC,191,19.4079,-99.18795,191 GDOR RAFAEL REBOLLAR-GDOR VICENTE EGUIA,"176,189,190",9,BIKE,OPN,,SAN MIGUEL CHAPULTEPEC
191,192 - Rubén Darío-Reforma,S/N,30,CHA,192,19.42592,-99.19075500000001,192 RUBEN DARIO-REFORMA,"193,234,238",6,"BIKE,TPV",OPN,11510,1RA SECC DEL BOSQUE DE CHAPULTEPEC
192,193 - Rubén Darío.Reforma,S/N,33,CHA,193,19.425907000000002,-99.190733,193 RUBEN DARIO-REFORMA,"192,234,238",1,BIKE,OPN,11510,1RA SECC DEL BOSQUE DE CHAPULTEPEC
193,194 - Av. Paseo de la Reforma-Circuito Mahatma Gandhi,S/N,20,CHA,194,19.424282,-99.180334,194 CTO MAHATMA GANDHI-AV. PASEO DE LA REFORMA,"195,253,261",4,"BIKE,TPV",OPN,11510,1RA SECC DEL BOSQUE DE CHAPULTEPEC
194,195 - Circuito Mahatma Gandhi-Av. Paseo de la Reforma,S/N,19,CHA,195,19.424926,-99.185147,195 AV. PASEO DE LA REFORMA-CTO MAHATMA GANDHI,"194,253,261",5,"BIKE,TPV",OPN,,1RA SECC DEL BOSQUE DE CHAPULTEPEC
195,196 - Lago Tanganica- Av. Ejército Nacional,S/N,18,POL,196,19.438349,-99.192904,196 LAGO TANGANICA-AV. EJERCITO NACIONAL,"204,244,245",9,BIKE,OPN,11510,GRANADA
196,197 - Miguel de Cervantes Saavedra-Ferrocarril de Cuernavaca,S/N,33,1,197,19.440077,-99.204316,197 MIGUEL DE CERVANTES-FC DE CUERNAVACA,197,2,"BIKE,TPV",OPN,,GRANADA
197,198 - Sócrates-Ejercito Nacional,S/N,15,POL,198,19.438168,-99.203888,198 SÓCRATES-EJERCITO NACIONAL ,"240,241",12,"BIKE,TPV",OPN,,LOS MORALES SECC PALMAS
198,199 - Anatole France-Av. Ejército Nacional,S/N,21,POL,199,19.437934,-99.197241,199 ANATOLE FRANCE-AV. EJERCITO NACIONAL,"196,202,203",2,BIKE,OPN,11510,POLANCO REFORMA
199,200 - Emerson-Av. Ejército Nacional,S/N,21,POL,200,19.437596,-99.188785,200 EMERSON-AV. EJERCITO NACIONAL,"201,204,245",5,BIKE,OPN,11510,CHAPULTEPEC MORALES
200,201 - Lope de Vega-Ejército Nacional,S/N,18,POL,201,19.437431,-99.18721500000001,201 LOPE DE VEGA-EJERCITO NACIONAL ,"200,205,245",0,BIKE,OPN,11510,CHAPULTEPEC MORALES
201,202 - Calderón de la Barca-Av. Homero,S/N,20,POL,202,19.43617,-99.198943,202 CALDERON DE LA BARCA-AV. HOMERO,"199,206,215",1,BIKE,OPN,11510,POLANCO REFORMA
202,203 - Tennyson-Av. Homero,S/N,8,POL,203,19.435985000000002,-99.19483199999999,203 TENNYSON-AV. HOMERO,"196,204,210",16,BIKE,OPN,11510,POLANCO REFORMA
203,204 - Temistocles-Homero,S/N,14,1,204,19.435882,-99.19152,204 TEMISTOCLES-HOMERO,"196,200,245",13,BIKE,OPN,11510,POLANCO REFORMA
204,205 - Taine-Homero,S/N,17,POL,205,19.435525,-99.184713,205 TAINE-HOMERO,"201,207,217",3,BIKE,OPN,11510,CHAPULTEPEC MORALES
205,206 - Moliere-Homero,S/N,13,POL,206,19.435798000000002,-99.201419,206 MOLIERE-HOMERO ,"202,214,215",11,"BIKE,TPV",OPN,,LOS MORALES SECC PALMAS
206,207 - Tasso-Homero,S/N,24,POL,207,19.434860999999998,-99.183322,207 TASSO-HOMERO ,"205,217,226",0,BIKE,OPN,11510,CHAPULTEPEC MORALES
207,208 - Hesiodo-Lamartine,S/N,2,POL,208,19.434182,-99.189835,208 HESIODO-LAMARTINE ,"211,212,218",25,BIKE,OPN,11510,CHAPULTEPEC MORALES
208,209 - Solón-Horacio,S/N,13,POL,209,19.435478,-99.20635899999999,209 SOLON-HORACIO ,"213,214,219",11,BIKE,OPN,11510,LOS MORALES SECC PALMAS
209,210 Eugenio Sue-Horacio,S/N,15,POL,210,19.434076,-99.194091,210 EUGENIO SUE-HORACIO ,"203,204,216",12,BIKE,OPN,,POLANCO REFORMA
210,211 - Newton-Horacio,S/N,25,POL,211,19.433607000000002,-99.188528,211 NEWTON-HORACIO,"208,212,218",8,BIKE,OPN,11510,CHAPULTEPEC MORALES
211,212 - Hegel-Horacio,S/N,26,POL,212,19.433567,-99.188096,212 HEGEL-HORACIO ,"211,218,224",10,"BIKE,TPV",OPN,11510,CHAPULTEPEC MORALES
212,213 - Solón-Cicerón,S/N,23,POL,213,19.43432,-99.20631999999999,213 SOLÓN-CICERÓN,"209,214,219",4,BIKE,OPN,11510,LOS MORALES SECC ALAMEDA
213,214 - Platón-Horacio,S/N,19,POL,214,19.434353,-99.20322,214 PLATÓN-HORACIO,"206,209,215",5,BIKE,OPN,,LOS MORALES SECC ALAMEDA
214,215 - Edgar Alan Poe-Horacio,S/N,16,POL,215,19.43384,-99.19968,215 EDGAR ALAN POE-HORACIO,"206,214,221",8,BIKE,OPN,11510,POLANCO REFORMA
215,216 - Alejandro Dumas-Horacio,S/N,15,POL,216,19.433419,-99.195746,216 ALEJANDRO DUMAS-HORACIO ,"210,222",9,"BIKE,TPV",OPN,11510,POLANCO REFORMA
216,217 - Euler-Horacio,S/N,27,POL,217,19.432888000000002,-99.183605,217 EULER-AV. HORACIO ,"207,225,226",8,"BIKE,TPV",OPN,11510,CHAPULTEPEC MORALES
217,218 - Hegel-Ibarbourou,S/N,9,POL,218,19.432451,-99.18803299999999,218 HEGEL-IBARBOUROU ,"211,212,224",15,BIKE,OPN,11510,CHAPULTEPEC MORALES
